Informant,Project,Sex,Age,Ethnicity,Education_level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year_interviewed,Notes
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,Lake Pleasant,Hamilton ,NY,43.49722,-74.36222,"McDavid, Raven",1948,
NY26C,LAMSAS,Male,54,White,At least some high school,"Manager, official, or proprietor",Lake Pleasant,Hamilton ,NY,43.48889,-74.35555,"McDavid, Raven",1948,
NY27A,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,Ticonderoga,Essex ,NY,43.84861,-73.42389,"McDavid, Raven",1948,
NY27B,LAMSAS,Female,82,White,At least some high school,"Manager, official, or proprietor",Ticonderoga,Essex ,NY,43.85556,-73.44028,"McDavid, Raven",1948,
NY27C,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,Ticonderoga,Essex ,NY,43.83333,-73.42223,"McDavid, Raven",1948,
NY28A,LAMSAS,Female,54,White,Between 1 and 8 years,Keeping house,Plattsburg,Clinton ,NY,44.69944,-73.45333,"McDavid, Raven",1948,
NY28B,LAMSAS,Female,87,White,At least some college or beyond,Keeping house,Chazy,Clinton ,NY,44.88972,-73.43639,"McDavid, Raven",1948,
NY28C,LAMSAS,Female,85,White,Unknown,Keeping house,Champlain,Clinton ,NY,44.98639,-73.44695,"McDavid, Raven",1948,
NY29A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,Belmont,Franklin ,NY,44.85778,-74.03389,"McDavid, Raven",1948,
NY29B,LAMSAS,Male,67,White,Between 1 and 8 years,Operative,Malone,Franklin ,NY,44.84861,-74.29528,"McDavid, Raven",1948,
NY29C,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",Malone,Franklin ,NY,44.84167,-74.29166,"McDavid, Raven",1948,
NY30A,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,Colton,St. Lawrence ,NY,44.51056,-74.88805,"McDavid, Raven",1948,
NY30B,LAMSAS,Male,87,White,Between 1 and 8 years,Craftsman or foreman,Hopkinton,St. Lawrence ,NY,44.70555,-74.71528,"McDavid, Raven",1948,
NY30C,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,Hopkinton,St. Lawrence ,NY,44.69028,-74.70361,"McDavid, Raven",1948,
NY30D,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,Hopkinton,St. Lawrence ,NY,44.7,-74.70834,"McDavid, Raven",1948,
NY30E,LAMSAS,Female,75,White,At least some high school,Keeping house,Hopkinton,St. Lawrence ,NY,44.69083,-74.68195,"McDavid, Raven",1948,
NY31A,LAMSAS,Male,94,White,At least some high school,"Manager, official, or proprietor",Orleans,Jefferson ,NY,44.11444,-75.97417,"McDavid, Raven",1949,
NY31B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,Theresa,Jefferson ,NY,44.21528,-75.7975,"McDavid, Raven",1949,
NY32A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,Highmarket,Lewis ,NY,43.56667,-75.42889,"McDavid, Raven",1949,
NY32B,LAMSAS,Male,71,White,Between 1 and 8 years,Farmer,New Bremen,Lewis ,NY,43.83778,-75.44055,"McDavid, Raven",1949,
NY33A,LAMSAS,Male,52,White,Between 1 and 8 years,Public Servant,Webb,Herkimer ,NY,43.71,-74.97472,"McDavid, Raven",1948,
NY33B,LAMSAS,Male,50,White,At least some high school,Professional or technical job,Webb,Herkimer ,NY,43.70778,-74.97722,"McDavid, Raven",1948,
NY33C,LAMSAS,Male,57,White,At least some high school,"Manager, official, or proprietor",Webb,Herkimer ,NY,43.81833,-74.91556,"McDavid, Raven",1948,
NY34A,LAMSAS,Male,85,White,At least some college or beyond,Farmer,Oswego,Oswego ,NY,43.43528,-76.56416,"McDavid, Raven",1949,
NY34B,LAMSAS,Female,65,White,Between 1 and 8 years,Operative,Oswego,Oswego ,NY,43.45528,-76.51083,"McDavid, Raven",1949,
NY34C,LAMSAS,Male,81,White,At least some college or beyond,Professional or technical job,Richland,Oswego ,NY,43.56694,-76.12805,"McDavid, Raven",1949,
NY34D!,LAMSAS,Male,81,White,At least some high school,"Manager, official, or proprietor",Richland,Oswego ,NY,43.44361,-76.51945,"McDavid, Raven",1949,
NY35A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,Elbridge,Onondaga ,NY,43.03444,-76.44833,"Lowman, Guy",1941,
NY35B,LAMSAS,Female,45,White,At least some high school,Keeping house,Pompey,Onondaga ,NY,42.97805,-75.93333,"Lowman, Guy",1941,
NY35C!,LAMSAS,Male,62,White,At least some high school,"Manager, official, or proprietor",Syracuse,Onondaga ,NY,43.04805,-76.14778,"Lowman, Guy",1941,
NY36A,LAMSAS,Male,78,White,At least some high school,Farmer,Fenner,Madison ,NY,42.93,-75.85306,"Lowman, Guy",1941,
NY36B,LAMSAS,Male,52,White,At least some high school,Farmer,Smithfield,Madison ,NY,42.96722,-75.68833,"Lowman, Guy",1941,
NY37A,LAMSAS,Female,80,White,At least some high school,Keeping house,Lee,Oneida ,NY,43.30333,-75.51833,"Lowman, Guy",1941,
NY37B,LAMSAS,Male,42,White,At least some high school,Private household worker or gardener,Marcy,Oneida ,NY,43.13667,-75.25945,"Lowman, Guy",1941,
NY37C!,LAMSAS,Female,52,White,At least some high school,Keeping house,Utica,Oneida ,NY,43.10083,-75.23306,"Lowman, Guy",1941,
NY38A,LAMSAS,Male,81,White,At least some high school,Farmer,Columbia,Herkimer ,NY,42.9325,-75.0375,"Lowman, Guy",1941,
NY38B,LAMSAS,Male,54,White,At least some high school,Farmer,Columbia,Herkimer ,NY,43.015,-75.03584,"Lowman, Guy",1941,
NY38C,LAMSAS,Female,,White,Unknown,Unknown,German Flats,Herkimer ,NY,42.96139,-74.90361,"Lowman, Guy",1941,
NY39A,LAMSAS,Male,79,White,At least some high school,Farmer,Decatur,Otsego ,NY,42.59139,-74.75083,"Lowman, Guy",1941,
NY39B,LAMSAS,Male,43,White,At least some high school,Farmer,Exeter,Otsego ,NY,42.78028,-75.02834,"Lowman, Guy",1941,
NY40A,LAMSAS,Male,79,White,At least some high school,Farmer,Bovina,Delaware ,NY,42.26194,-74.785,"Lowman, Guy",1941,
NY40B,LAMSAS,Male,51,White,At least some high school,"Manager, official, or proprietor",Walton,Delaware ,NY,42.16945,-75.12972,"Lowman, Guy",1941,
NY41,LAMSAS,Male,47,White,At least some high school,Farmer,Plymouth,Chenango ,NY,42.61694,-75.60278,"Lowman, Guy",1941,
NY42A,LAMSAS,Male,63,White,At least some high school,Farmer,Truxton,Cortland ,NY,42.42916,-76.49528,"Lowman, Guy",1941,
NY42B,LAMSAS,Male,45,White,At least some high school,Farmer,Homer,Cortland ,NY,42.66611,-76.10194,"Lowman, Guy",1941,
NY43A,LAMSAS,Male,80,White,Unknown,Farmer,Nanticoke,Broome ,NY,42.32889,-75.96806,"Lowman, Guy",1941,
NY43B,LAMSAS,Male,41,White,At least some high school,Farmer,Lisle,Broome ,NY,42.35833,-76.06194,"Lowman, Guy",1941,
NY43C!,LAMSAS,Female,47,White,At least some high school,Keeping house,Binghamton,Broome ,NY,42.09861,-75.91833,"Lowman, Guy",1941,
NY44A,LAMSAS,Male,78,White,At least some high school,Farmer,Nichols,Tioga ,NY,42.05806,-76.33611,"Lowman, Guy",1941,
NY44B,LAMSAS,Male,38,White,At least some high school,Farmer,Barton,Tioga ,NY,42.14139,-76.43945,"Lowman, Guy",1941,
NY45A,LAMSAS,Male,72,White,Between 1 and 8 years,Private household worker or gardener,Big Flats,Chemung ,NY,42.10833,-76.83334,"McDavid, Raven",1949,
NY45B,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,Catlin,Chemung ,NY,42.20333,-76.88805,"McDavid, Raven",1949,
NY45C,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,Catlin,Chemung ,NY,42.13722,-76.93723,"McDavid, Raven",1949,
NY45D!,LAMSAS,Female,72,White,At least some college or beyond,Other (see notes),Elmira,Chemung ,NY,42.08972,-76.80805,"McDavid, Raven",1949,"""Single homemaker"""
NY46A,LAMSAS,Male,82,White,Between 1 and 8 years,Craftsman or foreman,Orange,Schuyler ,NY,42.30556,-77.04945,"McDavid, Raven",1949,
NY46B,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,Reading,Schuyler ,NY,42.43028,-76.93305,"Pederson, Lee",1965,
NY46C,LAMSAS,Female,73,White,Between 1 and 8 years,Keeping house,Dix,Schuyler ,NY,42.34861,-76.95667,"Pederson, Lee",1965,
NY47A,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,Newfield,Tompkins ,NY,42.36195,-76.59111,"McDavid, Raven",1949,
NY47B,LAMSAS,Male,40,White,At least some college or beyond,Farmer,Dryden,Tompkins ,NY,42.49083,-76.2975,"Lowman, Guy",1941,
NY48A,LAMSAS,Male,78,White,Between 1 and 8 years,Public Servant,Cato,Cayuga ,NY,43.16806,-76.57333,"McDavid, Raven",1949,
NY48B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,Cato,Cayuga ,NY,43.16555,-76.53722,"McDavid, Raven",1949,
NY48C,LAMSAS,Male,63,White,At least some high school,Farmer,Ira,Cayuga ,NY,43.22139,-76.55666,"McDavid, Raven",1949,
NY48D,LAMSAS,Female,60,White,Between 1 and 8 years,Keeping house,Victory,Cayuga ,NY,43.19722,-76.65472,"McDavid, Raven",1949,
NY49A,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,Romulus,Seneca ,NY,42.75222,-76.83389,"McDavid, Raven",1949,
NY49B,LAMSAS,Male,44,White,Unknown,Unknown,Fayette,Seneca ,NY,42.81417,-76.80945,"Lowman, Guy",1941,
NY49C,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,Waterloo,Seneca ,NY,42.90472,-76.86305,"Udell, Gerald",1968,
NY49D,LAMSAS,Female,50,White,Unknown,Clerical or sales position,Seneca Falls,Seneca ,NY,42.91056,-76.79694,"Udell, Gerald",1968,
NY50A,LAMSAS,Female,92,White,At least some high school,Operative,Sodus,Wayne ,NY,43.23778,-77.06167,"McDavid, Raven",1949,
NY50B,LAMSAS,Male,75,White,At least some high school,Professional or technical job,Sodus,Wayne ,NY,43.23056,-77.04444,"McDavid, Raven",1949,
NY51A,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,Richmond,Ontario ,NY,42.80972,-77.53472,"McDavid, Raven",1949,
NY51B,LAMSAS,Male,87,White,At least some high school,Farmer,Geneva,Ontario ,NY,42.86889,-76.97806,"McDavid, Raven",1949,
NY51C,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,Naples,Ontario ,NY,42.61528,-77.40278,"McDavid, Raven",1949,
NY51D,LAMSAS,Female,70,White,At least some high school,Keeping house,Naples,Ontario ,NY,42.60695,-77.40833,"McDavid, Raven",1949,
NY51E!,LAMSAS,Male,89,White,At least some high school,"Manager, official, or proprietor",Naples,Ontario ,NY,42.87778,-76.99028,"McDavid, Raven",1949,
NY52A,LAMSAS,Female,49,White,At least some high school,Keeping house,Italy,Yates ,NY,42.61167,-77.29222,"McDavid, Raven",1949,
NY52B,LAMSAS,Female,77,White,At least some college or beyond,Keeping house,Benton,Yates ,NY,42.66083,-77.05417,"McDavid, Raven",1949,
NY52C,LAMSAS,Female,47,White,At least some high school,"Manager, official, or proprietor",Benton,Yates ,NY,42.63889,-76.98333,"Udell, Gerald",1968,
NY53A,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,Bath,Steuben ,NY,42.30305,-77.35694,"McDavid, Raven",1949,
NY53B!,LAMSAS,Female,80,White,At least some college or beyond,"Manager, official, or proprietor",Bath,Steuben ,NY,42.33694,-77.31805,"McDavid, Raven",1949,
NY54A,LAMSAS,Male,74,White,Between 1 and 8 years,Farmer,Canisteo,Steuben ,NY,42.27028,-77.60611,"Udell, Gerald",1968,
NY54B,LAMSAS,Male,50,White,At least some high school,Public Servant,Hornell,Steuben ,NY,42.32778,-77.66139,"Udell, Gerald",1968,
NY55A,LAMSAS,Male,84,White,At least some high school,Farmer,Rushford,Allegany ,NY,42.39222,-78.25389,"McDavid, Raven",1949,
NY55B,LAMSAS,Female,85,White,At least some high school,Keeping house,Rushford,Allegany ,NY,42.35917,-78.30917,"McDavid, Raven",1949,
NY56A,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,Arcade,Wyoming ,NY,42.53389,-78.42333,"McDavid, Raven",1949,
NY56B,LAMSAS,Male,84,White,At least some high school,Professional or technical job,Arcade,Wyoming ,NY,42.52361,-78.41666,"McDavid, Raven",1949,
NY57A,LAMSAS,Male,73,White,At least some high school,Farmer,Livonia,Livingston ,NY,42.82139,-77.66889,"McDavid, Raven",1949,
NY57B,LAMSAS,Female,79,White,At least some college or beyond,Keeping house,Livonia,Livingston ,NY,42.81667,-77.65694,"McDavid, Raven",1949,
NY57C!,LAMSAS,Female,83,White,At least some college or beyond,Teacher,Livonia,Livingston ,NY,42.90472,-77.61166,"McDavid, Raven",1949,
NY58A,LAMSAS,Male,72,White,At least some high school,Craftsman or foreman,Brighton,Monroe ,NY,43.1475,-77.55083,"McDavid, Raven",1949,
NY58B,LAMSAS,Male,81,White,Unknown,Unknown,Pittsford,Monroe ,NY,43.09056,-77.51527,"McDavid, Raven",1949,
NY58C,LAMSAS,Male,63,White,At least some college or beyond,"Manager, official, or proprietor",Rochester,Monroe ,NY,43.15472,-77.61584,"McDavid, Raven",1949,
NY58D!,LAMSAS,Female,60,White,At least some high school,Keeping house,Perinton,Monroe ,NY,43.05944,-77.47444,"McDavid, Raven",1949,
NY58E!,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",Perinton,Rochester,NY,43.20833,-77.58334,"McDavid, Raven",1949,
NY58F!,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,Perinton,Rochester,NY,43.16667,-77.65,"McDavid, Raven",1949,
NY59A,LAMSAS,Male,71,White,At least some high school,Farmer,LeRoy,Genesee ,NY,43.08528,-77.9425,"McDavid, Raven",1949,
NY59B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,Bethany,Genesee ,NY,42.90389,-78.13361,"Lowman, Guy",1941,
NY60A,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,Yates,Orleans ,NY,43.32667,-78.38917,"McDavid, Raven",1949,
NY60B!,LAMSAS,Male,74,White,At least some college or beyond,Public Servant,Albion,Orleans ,NY,43.24639,-78.19389,"McDavid, Raven",1949,
NY61A,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,Newfane,Niagara ,NY,43.33333,-78.7125,"McDavid, Raven",1949,
NY61B,LAMSAS,Male,77,White,At least some high school,Craftsman or foreman,Newfane,Niagara ,NY,43.33778,-78.715,"McDavid, Raven",1949,
NY62A,LAMSAS,Male,89,White,At least some high school,Farmer,Clarence,Erie ,NY,42.97667,-78.59222,"McDavid, Raven",1949,
NY62B,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,Eden,Erie ,NY,42.65222,-78.89722,"McDavid, Raven",1949,
NY62C,LAMSAS,Male,85,White,Between 1 and 8 years,Professional or technical job,Buffalo,Erie ,NY,42.88639,-78.87861,"McDavid, Raven",1949,
NY62D!,LAMSAS,Female,73,White,At least some high school,Keeping house,Orchard Park,Erie ,NY,42.7675,-78.74416,"McDavid, Raven",1949,
NY63A,LAMSAS,Male,70,White,At least some high school,Farmer,Great Valley,Cattaraugus ,NY,42.20083,-78.60833,"McDavid, Raven",1949,
NY63B,LAMSAS,Male,83,White,At least some high school,Professional or technical job,Randolph,Cattaraugus ,NY,42.16195,-78.97556,"McDavid, Raven",1949,
NY63C,LAMSAS,Male,47,White,At least some high school,Farmer,Little Valley,Cattaraugus ,NY,42.215,-78.75389,"Lowman, Guy",1941,
NY63D!,LAMSAS,Male,72,White,At least some college or beyond,Professional or technical job,Salamanca,Cattaraugus ,NY,42.15778,-78.71528,"McDavid, Raven",1949,
NY64A,LAMSAS,Male,81,White,At least some high school,Clerical or sales position,Westfield,Chautauqua ,NY,42.32222,-79.57833,"McDavid, Raven",1949,
NY64B,LAMSAS,Female,80,White,At least some college or beyond,Professional or technical job,Westfield,Chautauqua ,NY,42.30278,-79.56944,"McDavid, Raven",1949,
NY64C!,LAMSAS,Female,65,White,At least some college or beyond,Clerical or sales position,Westfield,Chautauqua ,NY,42.33333,-79.59583,"McDavid, Raven",1949,
NJ1A,LAMSAS,Male,70,White,No formal schooling,Laborer,Middle,Cape May ,NJ,39.14139,-74.85333,"Lowman, Guy",1939,
NJ1B,LAMSAS,Male,52,White,At least some high school,Farmer,Upper,Cape May ,NJ,39.27667,-74.63667,"Lowman, Guy",1939,
NJ2A,LAMSAS,Male,80,White,At least some high school,Farmer,Commercial,Cumberland ,NJ,39.24583,-75.03555,"Lowman, Guy",1939,
NJ2B,LAMSAS,Male,42,White,At least some high school,Farmer,Commercial,Cumberland ,NJ,39.28583,-74.99361,"Lowman, Guy",1939,
NJ3A,LAMSAS,Male,86,White,At least some high school,Farmer,Quinton,Salem ,NJ,39.51667,-75.39167,"Lowman, Guy",1939,
NJ3B,LAMSAS,Male,55,White,At least some high school,Farmer,Alloway Creek,Salem ,NJ,39.50528,-75.46222,"Lowman, Guy",1939,
NJ4A,LAMSAS,Male,70,White,At least some high school,Farmer,Deptford,Gloucester ,NJ,39.76639,-75.14472,"Lowman, Guy",1939,
